issue_id,risk_level,trial_blocker,issue_type,cost_item_id,related_item_ids,status,source,item_name,spec,unit,price,quote_usage_count,latest_quote_used_at,evidence,suggested_action,owner,done,notes
BIZ2T-0001,high,yes,missing_named_reference_price,203,,active,ai_suggested,临时静音保护棉铺设,夜间施工降噪保护，含铺设与回收；无底价项目，可测试人工改价后下发生成draft。,㎡,110.0,13,2026-05-27T17:29:23,"{""client_tax_excluded_price"": null, ""crew_benchmark_price"": null, ""latest_quote_used_at"": ""2026-05-27T17:29:23"", ""quote_usage_count"": 13, ""subcontract_composite_price"": null}",请补齐至少一个业务可解释的来源价，便于后续演示报价依据。,cost_department,,
BIZ2T-0002,high,yes,missing_named_reference_price,204,,active,ai_suggested,定制异形铝合金收口条安装,弧形转角，颜色按现场定制，含辅材；无底价项目，需人工确认价格依据,㎡,50.0,10,2026-05-27T17:29:23,"{""client_tax_excluded_price"": null, ""crew_benchmark_price"": null, ""latest_quote_used_at"": ""2026-05-27T17:29:23"", ""quote_usage_count"": 10, ""subcontract_composite_price"": null}",请补齐至少一个业务可解释的来源价，便于后续演示报价依据。,cost_department,,
BIZ2T-0003,high,yes,missing_named_reference_price,206,,active,manual,高空局部防尘围挡加固,4m以上作业面，含膨胀螺栓、收边和二次固定；未在底层成本库中匹配到该项目，建议人工补充单价,处,100.0,2,2026-05-27T17:29:23,"{""client_tax_excluded_price"": null, ""crew_benchmark_price"": null, ""latest_quote_used_at"": ""2026-05-27T17:29:23"", ""quote_usage_count"": 2, ""subcontract_composite_price"": null}",请补齐至少一个业务可解释的来源价，便于后续演示报价依据。,cost_department,,
BIZ2T-0004,high,yes,missing_named_reference_price,207,,active,manual,高空局部防尘围挡加固,4m以上作业面，含膨胀螺栓、收边和二次固定；4m以上作业面，含膨胀螺栓、收边和二次固定；无底价新项，需人工定价,处,100.0,1,2026-05-27T17:27:49,"{""client_tax_excluded_price"": null, ""crew_benchmark_price"": null, ""latest_quote_used_at"": ""2026-05-27T17:27:49"", ""quote_usage_count"": 1, ""subcontract_composite_price"": null}",请补齐至少一个业务可解释的来源价，便于后续演示报价依据。,cost_department,,
BIZ2T-0005,high,yes,missing_named_reference_price,208,,active,ai_suggested,甲方指定品牌成品检修口更换,300x300，品牌待甲方确认，含拆旧与安装；未在现有成本库中找到匹配项，需人工估价；300x300，品牌待甲方确认，含拆旧与安装,处,100.0,2,2026-05-27T17:29:23,"{""client_tax_excluded_price"": null, ""crew_benchmark_price"": null, ""latest_quote_used_at"": ""2026-05-27T17:29:23"", ""quote_usage_count"": 2, ""subcontract_composite_price"": null}",请补齐至少一个业务可解释的来源价，便于后续演示报价依据。,cost_department,,
BIZ2T-0007,medium,no,same_name_multi_spec,46,"46,47",active,imported,夹板窗帘盒,,,,2,2026-05-25T08:52:46,"{""item_count"": 2, ""latest_quote_used_at"": ""2026-05-25T08:52:46"", ""quote_usage_count"": 2, ""spec_count"": 2}",演示时可用于展示同名不同规格切换；治理时请确认每条规格足够可辨认。,cost_department,,
BIZ2T-0017,medium,no,missing_spec_on_multi_name,128,"128,129,130",active,imported,304#不锈钢上下夹（短夹）,,个,75.1812,0,,{},请补充规格/特征，至少说明适用范围或工艺差异。,cost_department,,
BIZ2T-0019,medium,no,missing_spec_on_multi_name,131,"131,132",active,imported,304#不锈钢上下夹（长夹）-同门扇宽（800-900长）,,个,136.364,0,,{},请补充规格/特征，至少说明适用范围或工艺差异。,cost_department,,
BIZ2T-0022,medium,no,same_name_multi_spec,206,"206,207",active,manual,高空局部防尘围挡加固,,,,2,2026-05-27T17:29:23,"{""item_count"": 2, ""latest_quote_used_at"": ""2026-05-27T17:29:23"", ""quote_usage_count"": 2, ""spec_count"": 2}",演示时可用于展示同名不同规格切换；治理时请确认每条规格足够可辨认。,cost_department,,
BIZ2T-0026,medium,no,missing_spec,135,,active,imported,玻璃门进口锁夹及安装,,只,113.225,1,2026-05-22T14:09:11,"{""latest_quote_used_at"": ""2026-05-22T14:09:11"", ""quote_usage_count"": 1}",如该条目确实不区分规格可保留；否则建议补齐，便于报价依据解释。,cost_department,,
BIZ2T-0030,medium,no,missing_spec,165,,active,imported,满堂超高脚手架(≥4.2米),,m3,18.0,2,2026-05-27T09:11:10,"{""latest_quote_used_at"": ""2026-05-27T09:11:10"", ""quote_usage_count"": 2}",如该条目确实不区分规格可保留；否则建议补齐，便于报价依据解释。,cost_department,,
BIZ2T-0031,medium,no,missing_spec,166,,active,imported,单排钢脚手架（外墙装饰用）,,㎡,10.0,2,2026-05-27T09:11:09,"{""latest_quote_used_at"": ""2026-05-27T09:11:09"", ""quote_usage_count"": 2}",如该条目确实不区分规格可保留；否则建议补齐，便于报价依据解释。,cost_department,,
BIZ2T-0035,medium,no,missing_spec,172,,active,imported,拆除复合木地板,,㎡,7.0,39,2026-05-27T17:29:23,"{""latest_quote_used_at"": ""2026-05-27T17:29:23"", ""quote_usage_count"": 39}",如该条目确实不区分规格可保留；否则建议补齐，便于报价依据解释。,cost_department,,
BIZ2T-0036,medium,no,missing_spec,173,,active,imported,拆除木脚线,,m,1.0,20,2026-05-25T16:05:10,"{""latest_quote_used_at"": ""2026-05-25T16:05:10"", ""quote_usage_count"": 20}",如该条目确实不区分规格可保留；否则建议补齐，便于报价依据解释。,cost_department,,
BIZ2T-0037,medium,no,missing_spec,174,,active,imported,砖墙、砼墙面抹灰面铲除,,㎡,7.0,4,2026-05-27T09:11:09,"{""latest_quote_used_at"": ""2026-05-27T09:11:09"", ""quote_usage_count"": 4}",如该条目确实不区分规格可保留；否则建议补齐，便于报价依据解释。,cost_department,,
BIZ2T-0039,medium,no,missing_spec,176,,active,imported,拆砖墙（120厚砖墙）,,㎡,16.0,4,2026-05-22T14:09:11,"{""latest_quote_used_at"": ""2026-05-22T14:09:11"", ""quote_usage_count"": 4}",如该条目确实不区分规格可保留；否则建议补齐，便于报价依据解释。,cost_department,,
