星汉高端装饰工程有限公司 - 内部专用报价单,,,,,,,,,,
客户姓名：李四,房屋面积：110平米,户型：三室两厅,设计师：王五,日期：2025-10-24,,,,,,
,,,,,,,,,,
大类,空间,施工项目,规格/工艺/材料说明,单位,预估工程量,人工单价(元),辅材单价(元),综合单价(元),合计(元),备注说明
一、拆除及新建工程,客餐厅,砸非承重墙,包含装袋及人工搬运至小区指定垃圾点,平米,15,60,20,80,1200,不含大型机械进场费
,,铲墙皮,铲除原大白至底层水泥砂浆面,平米,45,15,0,15,675,视原墙面牢固度而定
,,新建轻质砖墙,120mm厚轻体砖含植筋及双面抹灰找平,平米,12,80,70,150,1800,门头过梁另算
二、水电隐蔽工程,全屋,强电铺设(常规),穿线管布线熊猫2.5/4平方阻燃单芯铜线,米,200,25,20,45,9000,强弱电交叉处需锡箔纸屏蔽处理
,,强电铺设(专线),厨房/卫生间/空调 6平方专线布设,米,40,35,35,70,2800,单独回路漏保另算
,,给水管铺设,伟星PPR 20/25管冷热同管保温处理,米,65,30,35,65,4225,完工后需进行0.8Mpa打压测试
三、泥瓦工程,客餐厅,地面找平,纯水泥砂浆找平厚度不超过3cm,平米,40,25,20,45,1800,为铺设木地板做准备
,厨房/卫生间,墙面防水处理,东方雨虹柔韧型防水涂料横纵各刷一遍,平米,35,35,50,85,2975,卫生间墙面需刷至1.8m高
,,地砖铺贴(常规),800*800 瓷砖留2mm缝隙常规铺贴,平米,45,45,25,70,3150,主材自理。含勾缝。
四、木作工程,客餐厅,直线型吊顶,龙牌轻钢龙骨泰山石膏板无造型平顶,平米,30,60,60,120,3600,拐角处整板L型抗裂处理
五、油漆工程,全屋,墙顶面基层处理,墙面界面剂(墙固)1遍底层石膏找平,平米,200,15,10,25,5000,阴阳角需找直
,,乳胶漆涂刷,机器喷涂或滚涂1遍底漆+2遍面漆,平米,200,12,15,27,5400,需做好成品保护
六、其他费用,全屋,现场保护费,地面入户门窗户及下水管口专用膜保护,项,1,300,200,500,500,贯穿施工全过程
七、费用结算汇总,,,,,预估工程合计总价(不含税金),,,,41725,
,,税金及管理费,按工程合计总价的 8% 计取,项,1,,,3338,3338,提供正规增值税发票
,,工程最终总造价,含税及管理费总计,,,,,,45063,客户最终支付金额
